"New User","مستعمل جديد"
"Create app <a href=""https://code.google.com/apis/console/"" target=""_bank"">here</a>","إنشاء التطبيق <a href=""https://code.google.com/apis/console/"" target=""_bank"">هنا</a>"
"Client ID","معرف العميل"
"Client Secret","سر العميل"
"REDIRECT URIS","إعادة توجيه الريس"
"Twitter","تغريد"
"Create app <a href=""https://dev.twitter.com/apps"" target=""_bank"">here</a>","إنشاء التطبيق <a href=""https://dev.twitter.com/apps"" target=""_bank"">هنا</a>"
"Consumer Key","مفتاح المستهلك"
"Consumer Secret","سر المستهلك"
"LinkedIn","ينكدين"
"Create app <a href=""https://www.linkedin.com/secure/developer"" target=""_bank"">here</a>","إنشاء التطبيق <a href=""https://www.linkedin.com/secure/developer"" target=""_bank"">هنا</a>"
"Id Client","معرف العميل"
"Secret Client","عميل سري"
"Yahoo","ياهو"
"Create app <a href=""https://developer.yahoo.com/apps/"" target=""_bank"">here</a>","إنشاء التطبيق <a href=""https://developer.yahoo.com/apps/"" target=""_bank"">هنا</a>"
"Foursquare","شخصيات قصص الابطال الخارقين"
"Create app <a href=""https://www.foursquare.com/oauth/"" target=""_bank"">here</a>","إنشاء التطبيق <a href=""https://www.foursquare.com/oauth/"" target=""_bank"">هنا</a>"
"Callback Url","عاود الاتصال بالعنوان"
"Instagram","إينستاجرام"
"Create app <a href=""http://instagram.com/developer/clients/manage/"" target=""_bank"">here</a>","إنشاء التطبيق <a href=""http://instagram.com/developer/clients/manage/"" target=""_bank"">هنا</a>"
"Vkontakte","فكونتاكتي"
"Create app <a href=""https://new.vk.com/dev"" target=""_bank"">here</a>","إنشاء التطبيق <a href=""https://new.vk.com/dev"" target=""_bank"">هنا</a>"
"Application ID","رقم الاستمارة"
"Secure Key","مفتاح الأمان"
"Github","جيثب"
"Create app <a href=""https://github.com/settings/applications/new"" target=""_bank"">here</a>","إنشاء التطبيق <a href=""https://github.com/settings/applications/new"" target=""_bank"">هنا</a>"
