"New User","Nou usuari"
"Create New Account","Crear un nou compte"
"Sign Up for Newsletter","Inscriure's al butlletí"
"Address Information","Informació d'adreces"
"Company","Empresa"
"Phone Number","Número de telèfon"
"Street Address","Adreça"
"Address","adreça"
"Street Address %1","Adreça de Carrer %1"
"City","ciutat"
"State/Province","Estat / província"
"Please select a region, state or province.","Seleccioneu una regió, estat o província."
"Zip/Postal Code","Codi Postal / Codi Postal"
"Country","País"
"Confirm Password","Confirma la contrassenya"
"Create an Account","Crear un compte"
"Back","esquena"
"Forgot Password","Has oblidat la contrasenya"
"Please enter your email address below to receive a password reset link.","Introduïu la vostra adreça de correu electrònic a continuació per rebre un enllaç de restabliment de la contrasenya."
"Submit","Presentar"
"Go back","Torna"
"Social Login","Accés social"
"General","General"
"Enable","Habilita"
"Send Password To Customer","Enviar contrasenya al client"
"Show Social Login Buttons on","Mostra botons d'inici de sessió social a"
"Use Popup Login","Utilitza l'inici de sessió emergent"
"Popup Effect","Efecte emergent"
"Style Management","Gestió d'estils"
"Custom Color","Color personalitzat"
"Custom CSS","CSS personalitzat"
"Facebook","Facebook"
"Create app <a href=""https://developers.facebook.com/apps"" target=""_bank"">here</a>","Creeu l'aplicació <a href=""https://developers.facebook.com/apps"" target=""_bank"">aquí</a>"
"Facebook App Id","Identificador de l'aplicació de Facebook"
"Facebook App Secret","Secret de l'aplicació de Facebook"
"Valid OAuth redirect URIs","URIs de redirecció OAuth vàlids"
"Google","Google"
"Create app <a href=""https://code.google.com/apis/console/"" target=""_bank"">here</a>","Creeu l'aplicació <a href=""https://code.google.com/apis/console/"" target=""_bank"">aquí</a>"
"Client ID","Identificador de client"
"Client Secret","Secret del client"
"REDIRECT URIS","REDIRECT URIS"
"Twitter","Twitter"
"Create app <a href=""https://dev.twitter.com/apps"" target=""_bank"">here</a>","Creeu l'aplicació <a href=""https://dev.twitter.com/apps"" target=""_bank"">aquí</a>"
"Consumer Key","Clau del consumidor"
"Consumer Secret","Secret del consumidor"
"LinkedIn","LinkedIn"
"Create app <a href=""https://www.linkedin.com/secure/developer"" target=""_bank"">here</a>","Creeu l'aplicació <a href=""https://www.linkedin.com/secure/developer"" target=""_bank"">aquí</a>"
"Id Client","Client d'identificació"
"Secret Client","Client secret"
"Yahoo","Yahoo"
"Create app <a href=""https://developer.yahoo.com/apps/"" target=""_bank"">here</a>","Creeu l'aplicació <a href=""https://developer.yahoo.com/apps/"" target=""_bank"">aquí</a>"
"Foursquare","Foursquare"
"Create app <a href=""https://www.foursquare.com/oauth/"" target=""_bank"">here</a>","Creeu l'aplicació <a href=""https://www.foursquare.com/oauth/"" target=""_bank"">aquí</a>"
"Callback Url","Url de devolució de trucades"
"Instagram","Instagram"
"Create app <a href=""http://instagram.com/developer/clients/manage/"" target=""_bank"">here</a>","Creeu l'aplicació <a href=""http://instagram.com/developer/clients/manage/"" target=""_bank"">aquí</a>"
"Vkontakte","Vkontakte"
"Create app <a href=""https://new.vk.com/dev"" target=""_bank"">here</a>","Creeu l'aplicació <a href=""https://new.vk.com/dev"" target=""_bank"">aquí</a>"
"Application ID","ID d'aplicació"
"Secure Key","Clau segura"
"Github","Github"
"Create app <a href=""https://github.com/settings/applications/new"" target=""_bank"">here</a>","Creeu l'aplicació <a href=""https://github.com/settings/applications/new"" target=""_bank"">aquí</a>"
