"New User","Nowy użytkownik"
"Show Social Login Buttons on","Pokaż przyciski logowania społecznościowego włączone"
"Use Popup Login","Użyj wyskakującego logowania"
"Popup Effect","Efekt pop-up"
"Style Management","Zarządzanie stylem"
"Custom Color","Niestandardowy kolor"
"Custom CSS","niestandardowe CSS"
"Facebook","Facebook"
"Create app <a href=""https://developers.facebook.com/apps"" target=""_bank"">here</a>","Utwórz aplikację <a href=""https://developers.facebook.com/apps"" target=""_bank"">tutaj</a>"
"Facebook App Id","Identyfikator aplikacji Facebook"
"Facebook App Secret","Tajemnica aplikacji na Facebooku"
"Valid OAuth redirect URIs","Prawidłowe identyfikatory URI przekierowania OAuth"
"Google","Google"
"Create app <a href=""https://code.google.com/apis/console/"" target=""_bank"">here</a>","Utwórz aplikację <a href=""https://code.google.com/apis/console/"" target=""_bank"">tutaj</a>"
"Client ID","Identyfikator klienta"
"Client Secret","Sekret klienta"
"REDIRECT URIS","REDIRECT URIS"
"Twitter","Świergot"
"Create app <a href=""https://dev.twitter.com/apps"" target=""_bank"">here</a>","Utwórz aplikację <a href=""https://dev.twitter.com/apps"" target=""_bank"">tutaj</a>"
"Consumer Key","Klucz klienta"
"Consumer Secret","Sekret klienta"
"LinkedIn","LinkedIn"
"Create app <a href=""https://www.linkedin.com/secure/developer"" target=""_bank"">here</a>","Utwórz aplikację <a href=""https://www.linkedin.com/secure/developer"" target=""_bank"">tutaj</a>"
"Id Client","Klient Id"
"Secret Client","Tajny klient"
"Yahoo","Wieśniak"
"Create app <a href=""https://developer.yahoo.com/apps/"" target=""_bank"">here</a>","Utwórz aplikację <a href=""https://developer.yahoo.com/apps/"" target=""_bank"">tutaj</a>"
"Foursquare","Foursquare"
"Create app <a href=""https://www.foursquare.com/oauth/"" target=""_bank"">here</a>","Utwórz aplikację <a href=""https://www.foursquare.com/oauth/"" target=""_bank"">tutaj</a>"
"Callback Url","URL oddzwonienia"
"Instagram","Instagram"
"Create app <a href=""http://instagram.com/developer/clients/manage/"" target=""_bank"">here</a>","Utwórz aplikację <a href=""http://instagram.com/developer/clients/manage/"" target=""_bank"">tutaj</a>"
"Vkontakte","Vkontakte"
"Create app <a href=""https://new.vk.com/dev"" target=""_bank"">here</a>","Utwórz aplikację <a href=""https://new.vk.com/dev"" target=""_bank"">tutaj</a>"
"Application ID","ID aplikacji"
"Secure Key","Bezpieczny klucz"
"Github","Github"
"Create app <a href=""https://github.com/settings/applications/new"" target=""_bank"">here</a>","Utwórz aplikację <a href=""https://github.com/settings/applications/new"" target=""_bank"">tutaj</a>"
