"New User","Người dùng mới"
"Secret Client","Khách hàng bí mật"
"Yahoo","Yahoo"
"Create app <a href=""https://developer.yahoo.com/apps/"" target=""_bank"">here</a>","Tạo ứng dụng <a href=""https://developer.yahoo.com/apps/"" target=""_bank"">tại đây</a>"
"Foursquare","Foursquare"
"Create app <a href=""https://www.foursquare.com/oauth/"" target=""_bank"">here</a>","Tạo ứng dụng <a href=""https://www.foursquare.com/oauth/"" target=""_bank"">tại đây</a>"
"Callback Url","Gọi lại URL"
"Instagram","Instagram"
"Create app <a href=""http://instagram.com/developer/clients/manage/"" target=""_bank"">here</a>","Tạo ứng dụng <a href=""http://instagram.com/developer/clients/manage/"" target=""_bank"">tại đây</a>"
"Vkontakte","Vkontakte"
"Create app <a href=""https://new.vk.com/dev"" target=""_bank"">here</a>","Tạo ứng dụng <a href=""https://new.vk.com/dev"" target=""_bank"">tại đây</a>"
"Application ID","ID ứng dụng"
"Secure Key","Khóa bảo mật"
"Github","Github"
"Create app <a href=""https://github.com/settings/applications/new"" target=""_bank"">here</a>","Tạo ứng dụng <a href=""https://github.com/settings/applications/new"" target=""_bank"">tại đây</a>"
