"New User","Új felhasználó"
"Popup Effect","Popup effektus"
"Style Management","Stíluskezelés"
"Custom Color","Egyéni szín"
"Custom CSS","Egyéni CSS"
"Facebook","Facebook"
"Create app <a href=""https://developers.facebook.com/apps"" target=""_bank"">here</a>","Alkalmazás létrehozása <a href=""https://developers.facebook.com/apps"" target=""_bank"">itt</a>"
"Facebook App Id","Facebook alkalmazás azonosítója"
"Facebook App Secret","Facebook App Secret"
"Valid OAuth redirect URIs","Érvényes OAuth átirányítási URI-k"
"Google","Google"
"Create app <a href=""https://code.google.com/apis/console/"" target=""_bank"">here</a>","Alkalmazás létrehozása <a href=""https://code.google.com/apis/console/"" target=""_bank"">itt</a>"
"Client ID","Ügyfélazonosító"
"Client Secret","Ügyfél titka"
"REDIRECT URIS","ÚJRENDEZÉS URIS"
"Twitter","Twitter"
"Create app <a href=""https://dev.twitter.com/apps"" target=""_bank"">here</a>","Alkalmazás létrehozása <a href=""https://dev.twitter.com/apps"" target=""_bank"">itt</a>"
"Consumer Key","Fogyasztói kulcs"
"Consumer Secret","Fogyasztói titok"
"LinkedIn","LinkedIn"
"Create app <a href=""https://www.linkedin.com/secure/developer"" target=""_bank"">here</a>","Alkalmazás létrehozása <a href=""https://www.linkedin.com/secure/developer"" target=""_bank"">itt</a>"
"Id Client","Id ügyfél"
"Secret Client","Titkos ügyfél"
"Yahoo","Jehu"
"Create app <a href=""https://developer.yahoo.com/apps/"" target=""_bank"">here</a>","Alkalmazás létrehozása <a href=""https://developer.yahoo.com/apps/"" target=""_bank"">itt</a>"
"Foursquare","Négyszögben"
"Create app <a href=""https://www.foursquare.com/oauth/"" target=""_bank"">here</a>","Alkalmazás létrehozása <a href=""https://www.foursquare.com/oauth/"" target=""_bank"">itt</a>"
"Callback Url","Visszahívási URL"
"Instagram","Instagram"
"Create app <a href=""http://instagram.com/developer/clients/manage/"" target=""_bank"">here</a>","Alkalmazás létrehozása <a href=""http://instagram.com/developer/clients/manage/"" target=""_bank"">itt</a>"
"Vkontakte","Vkontakte"
"Create app <a href=""https://new.vk.com/dev"" target=""_bank"">here</a>","Alkalmazás létrehozása <a href=""https://new.vk.com/dev"" target=""_bank"">itt</a>"
"Application ID","Alkalmazásazonosító"
"Secure Key","Biztonsági kulcs"
"Github","Github"
"Create app <a href=""https://github.com/settings/applications/new"" target=""_bank"">here</a>","Alkalmazás létrehozása <a href=""https://github.com/settings/applications/new"" target=""_bank"">itt</a>"
