"New User","Nový uživatel"
"Create an Account","Vytvořit účet"
"Back","Zadní"
"Forgot Password","Zapomenuté heslo"
"Please enter your email address below to receive a password reset link.","Zadejte níže svou e-mailovou adresu a získejte odkaz na obnovení hesla."
"Submit","Předložit"
"Go back","Jděte zpět"
"Social Login","Sociální přihlášení"
"General","Všeobecné"
"Enable","Umožnit"
"Send Password To Customer","Odeslat heslo zákazníkovi"
"Show Social Login Buttons on","Zobrazit tlačítka pro přihlášení do služby Social"
"Use Popup Login","Použijte přihlašovací popup"
"Popup Effect","Popup efekt"
"Style Management","Správa stylů"
"Custom Color","Vlastní barva"
"Custom CSS","Vlastní CSS"
"Facebook","Facebook"
"Create app <a href=""https://developers.facebook.com/apps"" target=""_bank"">here</a>","Zde si vytvořte aplikaci <a href=""https://developers.facebook.com/apps"" target=""_bank""></a>"
"Facebook App Id","ID aplikace Facebook"
"Facebook App Secret","Facebook tajné aplikace"
"Valid OAuth redirect URIs","Platné identifikátory URI přesměrování OAuth"
"Google","Google"
"Create app <a href=""https://code.google.com/apis/console/"" target=""_bank"">here</a>","Zde si vytvořte aplikaci <a href=""https://code.google.com/apis/console/"" target=""_bank""></a>"
"Client ID","ID klienta"
"Client Secret","Klientské tajemství"
"REDIRECT URIS","REDIRECT URIS"
"Twitter","Cvrlikání"
"Create app <a href=""https://dev.twitter.com/apps"" target=""_bank"">here</a>","Zde si vytvořte aplikaci <a href=""https://dev.twitter.com/apps"" target=""_bank""></a>"
"Consumer Key","Spotřebitelský klíč"
"Consumer Secret","Spotřebitelské tajemství"
"LinkedIn","LinkedIn"
"Create app <a href=""https://www.linkedin.com/secure/developer"" target=""_bank"">here</a>","Zde si vytvořte aplikaci <a href=""https://www.linkedin.com/secure/developer"" target=""_bank""></a>"
"Id Client","Identifikátor klienta"
"Secret Client","Tajný klient"
"Yahoo","Yahoo"
"Create app <a href=""https://developer.yahoo.com/apps/"" target=""_bank"">here</a>","Zde si vytvořte aplikaci <a href=""https://developer.yahoo.com/apps/"" target=""_bank""></a>"
"Foursquare","Foursquare"
"Create app <a href=""https://www.foursquare.com/oauth/"" target=""_bank"">here</a>","Zde si vytvořte aplikaci <a href=""https://www.foursquare.com/oauth/"" target=""_bank""></a>"
"Callback Url","Adresa URL zpětného volání"
"Instagram","Instagram"
"Create app <a href=""http://instagram.com/developer/clients/manage/"" target=""_bank"">here</a>","Zde si vytvořte aplikaci <a href=""http://instagram.com/developer/clients/manage/"" target=""_bank""></a>"
"Vkontakte","Vkontakte"
"Create app <a href=""https://new.vk.com/dev"" target=""_bank"">here</a>","Zde si vytvořte aplikaci <a href=""https://new.vk.com/dev"" target=""_bank""></a>"
"Application ID","ID aplikace"
"Secure Key","Zabezpečený klíč"
"Github","Github"
"Create app <a href=""https://github.com/settings/applications/new"" target=""_bank"">here</a>","Zde si vytvořte aplikaci <a href=""https://github.com/settings/applications/new"" target=""_bank""></a>"
