"New User","Νέος χρήστης"
"Create app <a href=""https://dev.twitter.com/apps"" target=""_bank"">here</a>","Δημιουργήστε την εφαρμογή <a href=""https://dev.twitter.com/apps"" target=""_bank"">εδώ</a>"
"Consumer Key","Καταναλωτικό κλειδί"
"Consumer Secret","Μυστικό καταναλωτή"
"LinkedIn","LinkedIn"
"Create app <a href=""https://www.linkedin.com/secure/developer"" target=""_bank"">here</a>","Δημιουργήστε την εφαρμογή <a href=""https://www.linkedin.com/secure/developer"" target=""_bank"">εδώ</a>"
"Id Client","Αναγνωριστικό πελάτη"
"Secret Client","Μυστικός πελάτης"
"Yahoo","Yahoo"
"Create app <a href=""https://developer.yahoo.com/apps/"" target=""_bank"">here</a>","Δημιουργήστε την εφαρμογή <a href=""https://developer.yahoo.com/apps/"" target=""_bank"">εδώ</a>"
"Foursquare","Τετράγωνο"
"Create app <a href=""https://www.foursquare.com/oauth/"" target=""_bank"">here</a>","Δημιουργήστε την εφαρμογή <a href=""https://www.foursquare.com/oauth/"" target=""_bank"">εδώ</a>"
"Callback Url","Επανάκληση κλήσης"
"Vkontakte","Vkontakte"
"Create app <a href=""https://new.vk.com/dev"" target=""_bank"">here</a>","Δημιουργήστε την εφαρμογή <a href=""https://new.vk.com/dev"" target=""_bank"">εδώ</a>"
"Application ID","Αναγνωριστικό εφαρμογής"
"Secure Key","Ασφαλές κλειδί"
"Github","Github"
"Create app <a href=""https://github.com/settings/applications/new"" target=""_bank"">here</a>","Δημιουργήστε την εφαρμογή <a href=""https://github.com/settings/applications/new"" target=""_bank"">εδώ</a>"
